id,nome,quartiere,classificazione,score,note,ciclabile_presente,n_corsie,senso_unico,n_testimonianze,zona,data_segnalazione
SS-BOL-0739,Via Francesco Roncati,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,B1,
SS-BOL-0740,Via Francesco Sabatucci,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0741,Via Francesco Saverio Mercadante,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-BOL-0742,Via Francesco Selmi,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0743,Via Francesco Serato,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-BOL-0744,Via Francesco Tadolini,,rosso,4,strada secondaria trafficata (1 corsie),no,1,si,0,A1,
SS-BOL-0745,Via Francesco Tamagno,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-BOL-0746,Via Francesco Todaro,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B1,
SS-BOL-0747,Via Francesco Zambeccari,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0748,Via Francesco Zambrini,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-BOL-0749,Via Francesco Zanardi,,verde,1,ciclabile presente (da OpenStreetMap),si,3,no,0,B1,
SS-BOL-0750,Via Franco Alfano,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-BOL-0751,Via Franco Basaglia,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,B1,
SS-BOL-0752,Via Franco Bolognese,,rosso,4,strada secondaria trafficata,no,2,si,0,B1,
SS-BOL-0753,Via Francoforte,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0754,Via Frank Zappa,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,B1,
SS-BOL-0755,Via Frassinago,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B1,
SS-BOL-0756,Via Fratelli Bordoni,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0757,Via Fratelli Carpigiani,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0758,Via Fratelli Cervi,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0759,Via Fratelli Dandolo,,blu,2,zona pedonale / living street,no,1,no,0,B1,
SS-BOL-0760,Via Fratelli Gruppi,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0761,Via Fratelli Pinardi,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0762,Via Fratelli Rosselli,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B1,
SS-BOL-0763,Via Friuli Venezia Giulia,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,A1,
SS-BOL-0764,Via Frullo,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0765,Via Fulvio Milani,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-BOL-0766,Via Gabriele D'Annunzio,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0767,Via Gaetano Bottrigari,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B1,
SS-BOL-0768,Via Gaetano Donizetti,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-BOL-0769,Via Gaetano Giordani,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-BOL-0770,Via Gaetano Monti,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-BOL-0771,Via Gaetano Previati,,blu,2,zona pedonale / living street,no,1,si,0,A1,
SS-BOL-0772,Via Gaetano Tacconi,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-BOL-0773,Via Gaibara,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
