id,nome,quartiere,classificazione,score,note,ciclabile_presente,n_corsie,senso_unico,n_testimonianze,municipio,data_segnalazione
SS-ROM-14027,Via del Mascherino,Municipio Roma I,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,I,2026-06-27
SS-ROM-14028,Via del Mastro,Municipio Roma I,giallo,3,strada urbana senza ciclabile,no,2,no,0,I,2026-06-27
SS-ROM-14029,Via del Mattonato,Municipio Roma I,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,I,2026-06-27
SS-ROM-14030,Via del Melangolo,Municipio Roma II,giallo,3,strada urbana senza ciclabile,no,2,si,0,II,2026-06-27
SS-ROM-14031,Via del Melograno,Municipio Roma V,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,V,2026-06-27
SS-ROM-14032,Via del Melone,Municipio Roma II,giallo,3,strada urbana senza ciclabile,no,2,si,0,II,2026-06-27
SS-ROM-14033,Via del Mitreo dei Serpenti,Municipio Roma XI,blu,2,zona pedonale / living street,no,1,no,0,XI,2026-06-27
SS-ROM-14034,Via del Monferrato,Municipio Roma XIV,giallo,3,strada urbana senza ciclabile,no,2,no,0,XIV,2026-06-27
SS-ROM-14035,Via del Monte Oppio,Municipio Roma II,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,II,2026-06-27
SS-ROM-14036,Via del Monte del Grano,Municipio Roma VII,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,VII,2026-06-27
SS-ROM-14037,Via del Monte della Capanna,Municipio Roma XIII,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,XIII,2026-06-27
SS-ROM-14038,Via del Monte delle Capre,Municipio Roma XII,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,XII,2026-06-27
SS-ROM-14039,Via del Monte delle Piche,Municipio Roma XII,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,XII,2026-06-27
SS-ROM-14040,Via del Monte di Casa,Municipio Roma IV,giallo,3,strada urbana senza ciclabile,no,2,no,0,IV,2026-06-27
