id,nome,quartiere,classificazione,score,note,ciclabile_presente,n_corsie,senso_unico,n_testimonianze,zona,data_segnalazione
SS-NAP-1124,Via Forno Vecchio,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A2,
SS-NAP-1125,Via Fosso Santo Stefano,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-1126,Via Fra' Gregorio Carafa,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-1127,Via Francesco Aggello,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-1128,Via Francesco Arnaldi,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B1,
SS-NAP-1129,Via Francesco Azzi,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-1130,Via Francesco Bacone,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-NAP-1131,Via Francesco Baracca,,blu,2,zona pedonale / living street,no,1,no,0,A2,
SS-NAP-1132,Via Francesco Barbato,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-1133,Via Francesco Benigno,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A2,
SS-NAP-1134,Via Francesco Blundo,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-1135,Via Francesco Bolvito,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-NAP-1136,Via Francesco Bufi,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-1137,Via Francesco Capocelatro,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-NAP-1138,Via Francesco Caracciolo,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-1139,Via Francesco Cerlone,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-1140,Via Francesco Cilea,,rosso,4,strada secondaria trafficata,no,2,no,0,A1,
SS-NAP-1141,Via Francesco Compagna,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-NAP-1142,Via Francesco Crispi,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-NAP-1143,Via Francesco Curia,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-1144,Via Francesco De Mura,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-1145,Via Francesco De Pinedo,,rosso,4,strada secondaria trafficata,no,2,si,0,B2,
SS-NAP-1146,Via Francesco Degni,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-1147,Via Francesco Dell'Erba,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-NAP-1148,Via Francesco Feo,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-NAP-1149,Via Francesco Ferrante d'Avalos,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-NAP-1150,Via Francesco Flora,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-NAP-1151,Via Francesco Fracanzano,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-1152,Via Francesco Gaeta,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-NAP-1153,Via Francesco Galeota,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-NAP-1154,Via Francesco Giordani,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-1155,Via Francesco Girardi,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A2,
SS-NAP-1156,Via Francesco Ierace,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-1157,Via Francesco Lauria,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-1158,Via Francesco Lomonaco,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-1159,Via Francesco Maria De Luca,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A2,
SS-NAP-1160,Via Francesco Morosini,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-NAP-1161,Via Francesco Netti,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-NAP-1162,Via Francesco Paolo Bozzelli,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-NAP-1163,Via Francesco Paolo Michetti,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-1164,Via Francesco Paolo Tosti,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,A1,
SS-NAP-1165,Via Francesco Parrillo,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A2,
SS-NAP-1166,Via Francesco Petrarca,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-NAP-1167,Via Francesco Provenzale,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-NAP-1168,Via Francesco Rismondi,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-NAP-1169,Via Francesco Saverio Correra,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A2,
SS-NAP-1170,Via Francesco Saverio Granata,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A2,
SS-NAP-1171,Via Francesco Saverio Nitti,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-NAP-1172,Via Francesco Saverio Siniscalchi,,blu,2,zona pedonale / living street,no,1,no,0,A2,
SS-NAP-1173,Via Francesco Scandone,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-1174,Via Francesco Solimena,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-1175,Via Francesco Spinelli,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A2,
SS-NAP-1176,Via Francesco Toraldo,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-NAP-1177,Via Francesco Verrotti,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-1178,Via Francesco Vico,,blu,2,zona pedonale / living street,no,1,no,0,A1,
SS-NAP-1179,Via Francesco Vizioli,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-NAP-1180,Via Francesco del Giudice,,blu,2,zona pedonale / living street,no,1,no,0,A2,
SS-NAP-1181,Via Franco Alfano,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-1182,Via Fratelli Cervi,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-NAP-1183,Via Fratelli Lumiere,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A2,
SS-NAP-1184,Via Fratelli Magnoni,,blu,2,zona pedonale / living street,no,1,si,0,A1,
SS-NAP-1185,Via Fratelli Ruggi,,blu,2,zona pedonale / living street,no,1,no,0,A2,
SS-NAP-1186,Via Fratelli Wright,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-NAP-1187,Via Frediano Cavara,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-1188,Via Fuori Porta San Gennaro,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-NAP-1189,Via Fuorigrotta,,rosso,4,strada principale trafficata,no,2,si,0,A1,
SS-NAP-1190,Via Gabriele Cirillo,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-1191,Via Gabriele Jannelli,,rosso,4,strada secondaria trafficata,no,2,no,0,B1,
SS-NAP-1192,Via Gabriele Rossetti,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-1193,Via Gaetano Argento,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
