id,nome,quartiere,classificazione,score,note,ciclabile_presente,n_corsie,senso_unico,n_testimonianze,zona,data_segnalazione
SS-MIL-3857,Via Santa Lucia,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B2,
SS-MIL-3858,Via Santa Marcellina,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,C2,
SS-MIL-3859,Via Santa Margherita,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-MIL-3860,Via Santa Maria Fulcorina,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B2,
SS-MIL-3861,Via Santa Maria Podone,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B2,
SS-MIL-3862,Via Santa Maria Rossa,,giallo,3,strada urbana senza ciclabile,no,2,si,0,C2,
SS-MIL-3863,Via Santa Maria Segreta,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-MIL-3864,Via Santa Maria Valle,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B2,
SS-MIL-3865,Via Santa Maria alla Porta,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-MIL-3866,Via Santa Marta,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B2,
SS-MIL-3867,Via Santa Monica,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,C2,
SS-MIL-3868,Via Santa Radegonda,,blu,2,zona pedonale / living street,no,1,no,0,B2,
SS-MIL-3869,Via Santa Rita,,giallo,3,strada urbana senza ciclabile,no,2,si,0,C2,
SS-MIL-3870,Via Santa Rita da Cascia,,rosso,4,strada secondaria trafficata (4 corsie),no,4,no,0,B1,
SS-MIL-3871,Via Santa Sofia,,verde,1,ciclabile presente (da OpenStreetMap),si,2,si,0,B2,
SS-MIL-3872,Via Santa Tecla,,blu,2,zona pedonale / living street,no,1,no,0,B2,
SS-MIL-3873,Via Santa Teresa,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A2,
SS-MIL-3874,Via Santa Valeria,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B2,
SS-MIL-3875,Via Santander,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B2,
SS-MIL-3876,Via Santerno,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,A2,
SS-MIL-3877,Via Santhià,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,C2,
SS-MIL-3878,Via Santo Spirito,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-MIL-3879,Via Santuario del Sacro Cuore,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,C2,
SS-MIL-3880,Via Sant’Elena,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-MIL-3881,Via Sapri,,giallo,3,strada urbana senza ciclabile,no,2,no,0,C1,
SS-MIL-3882,Via Sardegna,,verde,1,ciclabile presente (da OpenStreetMap),si,2,si,0,A1,
SS-MIL-3883,Via Saronno,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B2,
SS-MIL-3884,Via Sarzana,,giallo,3,strada urbana senza ciclabile,no,2,si,0,C2,
SS-MIL-3885,Via Sassari,,giallo,3,strada urbana senza ciclabile,no,2,si,0,C2,
SS-MIL-3886,Via Sassoferrato,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-MIL-3887,Via Saverio Altamura,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-MIL-3888,Via Saverio Mercadante,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-MIL-3889,Via Savona,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-MIL-3890,Via Scaldasole,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-MIL-3891,Via Schenavoglia,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-MIL-3892,Via Schengen,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A2,
SS-MIL-3893,Via Scipio Slataper,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,C2,
SS-MIL-3894,Via Scipione Pistrucci,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-MIL-3895,Via Scipione Riva Rocci,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-MIL-3896,Via Scoglio di Quarto,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B2,
SS-MIL-3897,Via Scrivia,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-MIL-3898,Via Scutari,,giallo,3,strada urbana senza ciclabile,no,2,si,0,C2,
SS-MIL-3899,Via Sebastiano Caboto,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,si,0,B1,
SS-MIL-3900,Via Sebastiano Satta,,giallo,3,strada urbana senza ciclabile,no,2,no,0,C1,
SS-MIL-3901,Via Sebastiano Veniero,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,B1,
SS-MIL-3902,Via Sebastiano de Albertis,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-MIL-3903,Via Sebastiano del Piombo,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-MIL-3904,Via Sebenico,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,C2,
SS-MIL-3905,Via Sebeto,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B2,
SS-MIL-3906,Via Sebino,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-MIL-3907,Via Secchia,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A2,
SS-MIL-3908,Via Segrino,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A2,
